entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
Portugal,PRT,FALSE,2025,Solar,FALSE,8.86,17.32,850.96,1.77,24.96,2.33,170.88
Portugal,PRT,FALSE,2025,Wind,FALSE,13.68,26.75,1313.89,-0.66,-4.6,-3.59,-61.61
Portugal,PRT,FALSE,2025,Wind and solar,TRUE,22.54,44.08,2164.85,1.11,5.18,-1.26,109.28
Sweden,SWE,FALSE,2025,Solar,FALSE,4.43,2.6,415.7,0.27,6.49,0.19,23.51
Sweden,SWE,FALSE,2025,Wind,FALSE,38.9,22.84,3650.32,-1.55,-3.83,-0.65,-163.2
Sweden,SWE,FALSE,2025,Wind and solar,TRUE,43.33,25.45,4066.02,-1.28,-2.87,-0.47,-139.69
Finland,FIN,FALSE,2025,Solar,FALSE,0.98,1.19,174.27,0.04,4.26,0.05,6.93
Finland,FIN,FALSE,2025,Wind,FALSE,22.58,27.44,4015.41,2.1,10.25,2.63,369.54
Finland,FIN,FALSE,2025,Wind and solar,TRUE,23.56,28.63,4189.69,2.14,9.99,2.68,376.48
Belgium,BEL,FALSE,2025,Solar,FALSE,10.46,14.29,889.56,1.9,22.2,3,160.36
Belgium,BEL,FALSE,2025,Wind,FALSE,13.39,18.29,1138.74,-0.48,-3.46,0,-42.81
Belgium,BEL,FALSE,2025,Wind and solar,TRUE,23.85,32.58,2028.3,1.42,6.33,3,117.55
Austria,AUT,FALSE,2025,Solar,FALSE,10.29,14.05,1129.09,2.15,26.41,3.67,236.62
Austria,AUT,FALSE,2025,Wind,FALSE,8.31,11.34,911.83,-0.83,-9.08,-0.3,-90.28
Austria,AUT,FALSE,2025,Wind and solar,TRUE,18.6,25.39,2040.91,1.32,7.64,3.37,146.34
Armenia,ARM,FALSE,2025,Solar,FALSE,0.73,8.47,247.26,-0.15,-17.05,-1.28,-48.65
Armenia,ARM,FALSE,2025,Wind,FALSE,0,0,0,0,,0,0
Armenia,ARM,FALSE,2025,Wind and solar,TRUE,0.73,8.47,247.26,-0.15,-17.05,-1.28,-48.65
Georgia,GEO,FALSE,2025,Solar,FALSE,0.03,0.22,7.88,0,0,0.01,0
Georgia,GEO,FALSE,2025,Wind,FALSE,0.08,0.59,21.02,-0.01,-11.11,-0.05,-2.62
Georgia,GEO,FALSE,2025,Wind and solar,TRUE,0.11,0.82,28.9,-0.01,-8.33,-0.05,-2.62
