raw_04_europe_renewables_share
Area;ISO 3 code;Year;Area type;Electricity source;Is aggregated source;Generation (TWh);Generation YoY change (TWh);Generation YoY change (%);Share of generation (%);Share of generation YoY change (% points);Emissions (MtCO2e);Emissions YoY change (MtCO2e);Emissions YoY change (%);Share of emissions (%);Emissions intensity (gCO2e/kWh);Continent;Ember region;EU member;OECD member;G20 member;G7 member;ASEAN member
Austria;AUT;1990;Country or economy;Solar;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Onshore wind;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Hydro;FALSE;31.51;;;63.954;;749;;;6.083;23.77;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Bioenergy;FALSE;1.13;;;2.293;;244;;;1.981;215.929;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Other renewables;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Nuclear;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Lignite;FALSE;2.38;;;4.831;;2.417;;;19.628;1015.546;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Gas;FALSE;7.72;;;15.669;;3.453;;;28.041;447.28;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Other fossil;FALSE;2.72;;;5.521;;1.79;;;14.536;658.088;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Net imports;FALSE;-0.46;;;-934;;0.0;;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Wind;TRUE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Coal;TRUE;6.19;;;12.563;;6.078;;;49.359;981.906;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Wind and solar;TRUE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Hydro, bioenergy and other renewables;TRUE;32.64;;;66.247;;993;;;8.064;30.423;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Renewables;TRUE;32.64;;;66.247;;993;;;8.064;30.423;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Clean;TRUE;32.64;;;66.247;;993;;;8.064;30.423;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Fossil;TRUE;16.63;;;33.753;;11.321;;;91.936;680.758;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Total generation;TRUE;49.27;;;100.0;;12.314;;;100.0;249.929;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Demand;TRUE;48.81;;;99.066;;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Hard coal;TRUE;3.81;;;7.733;;3.661;;;29.73;960.892;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Thermal;TRUE;17.76;;;36.046;;11.565;;;93.918;651.182;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Hydro;FALSE;31.44;-0.07;-222;62.679;-1.275;747;-2;-267;5.669;23.76;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Bioenergy;FALSE;1.21;0.08;7.08;2.412;119;262;18;7.377;1.988;216.529;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Lignite;FALSE;2.72;0.34;14.286;5.423;592;2.762;345;14.274;20.961;1015.441;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Gas;FALSE;7.47;-0.25;-3.238;14.892;-777;3.342;-111;-3.215;25.363;447.39;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Other fossil;FALSE;3.2;0.48;17.647;6.38;859;2.106;316;17.654;15.983;658.125;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Net imports;FALSE;0.77;1.23;-267.391;1.535;2.469;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Coal;TRUE;6.84;0.65;10.501;13.636;1.073;6.721;643;10.579;51.007;982.602;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Hydro, bioenergy and other renewables;TRUE;32.65;0.01;31;65.092;-1.155;1.009;16;1.611;7.657;30.904;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Renewables;TRUE;32.65;0.01;31;65.092;-1.155;1.009;16;1.611;7.657;30.904;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Clean;TRUE;32.65;0.01;31;65.092;-1.155;1.009;16;1.611;7.657;30.904;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Fossil;TRUE;17.51;0.88;5.292;34.908;1.155;12.168;847;7.482;92.345;694.917;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Total generation;TRUE;50.16;0.89;1.806;100.0;0.0;13.177;863;7.008;100.002;262.699;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Demand;TRUE;50.93;2.12;4.343;101.535;2.469;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Hard coal;TRUE;4.12;0.31;8.136;8.214;481;3.959;298;8.14;30.045;960.922;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1991;Country or economy;Thermal;TRUE;18.72;0.96;5.405;37.321;1.275;12.43;865;7.479;94.333;663.996;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Hydro;FALSE;34.85;3.41;10.846;69.854;7.175;828;81;10.843;8.23;23.759;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Bioenergy;FALSE;1.31;0.1;8.264;2.626;214;283;21;8.015;2.813;216.031;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Lignite;FALSE;1.27;-1.45;-53.309;2.546;-2.877;1.29;-1.472;-53.295;12.822;1015.748;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Gas;FALSE;6.64;-0.83;-11.111;13.309;-1.583;2.97;-372;-11.131;29.52;447.289;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Other fossil;FALSE;2.98;-0.22;-6.875;5.973;-407;1.961;-145;-6.885;19.491;658.054;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Net imports;FALSE;0.55;-0.22;-28.571;1.102;-433;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Coal;TRUE;4.11;-2.73;-39.912;8.238;-5.398;4.018;-2.703;-40.217;39.937;977.616;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Hydro, bioenergy and other renewables;TRUE;36.16;3.51;10.75;72.479;7.387;1.111;102;10.109;11.043;30.725;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Renewables;TRUE;36.16;3.51;10.75;72.479;7.387;1.111;102;10.109;11.043;30.725;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Clean;TRUE;36.16;3.51;10.75;72.479;7.387;1.111;102;10.109;11.043;30.725;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Fossil;TRUE;13.73;-3.78;-21.588;27.521;-7.387;8.95;-3.218;-26.446;88.958;651.857;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Total generation;TRUE;49.89;-0.27;-538;100.0;0.0;10.061;-3.116;-23.647;100.001;201.664;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Demand;TRUE;50.44;-0.49;-962;101.102;-433;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Thermal;TRUE;15.04;-3.68;-19.658;30.146;-7.175;9.233;-3.197;-25.72;91.771;613.896;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1992;Country or economy;Hard coal;TRUE;2.84;-1.28;-31.068;5.693;-2.521;2.729;-1.23;-31.068;27.125;960.915;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Hydro;FALSE;36.71;1.86;5.337;71.546;1.692;872;44;5.314;9.259;23.754;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Bioenergy;FALSE;1.34;0.03;2.29;2.612;-14;0.29;7;2.473;3.079;216.418;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Lignite;FALSE;1.08;-0.19;-14.961;2.105;-441;1.097;-193;-14.961;11.648;1015.741;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Gas;FALSE;6.79;0.15;2.259;13.233;-76;3.037;67;2.256;32.246;447.275;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Other fossil;FALSE;3.49;0.51;17.114;6.802;829;2.296;335;17.083;24.378;657.88;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Net imports;FALSE;-0.73;-1.28;-232.727;-1.423;-2.525;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Coal;TRUE;2.98;-1.13;-27.494;5.808;-2.43;2.922;-1.096;-27.277;31.025;980.537;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Hydro, bioenergy and other renewables;TRUE;38.05;1.89;5.227;74.157;1.678;1.162;51;4.59;12.338;30.539;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Renewables;TRUE;38.05;1.89;5.227;74.157;1.678;1.162;51;4.59;12.338;30.539;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Clean;TRUE;38.05;1.89;5.227;74.157;1.678;1.162;51;4.59;12.338;30.539;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Fossil;TRUE;13.26;-0.47;-3.423;25.843;-1.678;8.256;-694;-7.754;87.66;622.624;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Total generation;TRUE;51.31;1.42;2.846;100.0;0.0;9.418;-643;-6.391;99.998;183.551;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Demand;TRUE;50.58;0.14;278;98.577;-2.525;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Hard coal;TRUE;1.9;-0.94;-33.099;3.703;-1.99;1.826;-903;-33.089;19.388;961.053;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1993;Country or economy;Thermal;TRUE;14.6;-0.44;-2.926;28.454;-1.692;8.546;-687;-7.441;90.74;585.342;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Hydro;FALSE;35.71;-1.0;-2.724;68.739;-2.807;848;-24;-2.752;8.327;23.747;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Bioenergy;FALSE;1.19;-0.15;-11.194;2.291;-321;257;-33;-11.379;2.524;215.966;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Lignite;FALSE;1.02;-0.06;-5.556;1.963;-142;1.036;-61;-5.561;10.174;1015.686;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Gas;FALSE;8.64;1.85;27.246;16.631;3.398;3.865;828;27.264;37.955;447.338;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Other fossil;FALSE;3.31;-0.18;-5.158;6.372;-0.43;2.178;-118;-5.139;21.388;658.006;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Net imports;FALSE;-0.82;-0.09;12.329;-1.578;-155;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Coal;TRUE;3.1;0.12;4.027;5.967;159;3.034;112;3.833;29.794;978.71;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Hydro, bioenergy and other renewables;TRUE;36.9;-1.15;-3.022;71.03;-3.127;1.106;-56;-4.819;10.861;29.973;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Renewables;TRUE;36.9;-1.15;-3.022;71.03;-3.127;1.106;-56;-4.819;10.861;29.973;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Clean;TRUE;36.9;-1.15;-3.022;71.03;-3.127;1.106;-56;-4.819;10.861;29.973;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Fossil;TRUE;15.05;1.79;13.499;28.97;3.127;9.077;821;9.944;89.138;603.123;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Total generation;TRUE;51.95;0.64;1.247;100.0;0.0;10.183;765;8.123;99.999;196.015;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Demand;TRUE;51.13;0.55;1.087;98.422;-155;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Thermal;TRUE;16.24;1.64;11.233;31.261;2.807;9.335;789;9.232;91.671;574.815;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1994;Country or economy;Hard coal;TRUE;2.08;0.18;9.474;4.004;301;1.999;173;9.474;19.631;961.058;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Hydro;FALSE;37.07;1.36;3.808;67.339;-1.4;881;33;3.892;7.72;23.766;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Bioenergy;FALSE;1.84;0.65;54.622;3.342;1.051;398;141;54.864;3.488;216.304;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Lignite;FALSE;1.5;0.48;47.059;2.725;762;1.523;487;47.008;13.346;1015.333;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Gas;FALSE;8.91;0.27;3.125;16.185;-446;3.986;121;3.131;34.928;447.363;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Other fossil;FALSE;2.91;-0.4;-12.085;5.286;-1.086;1.915;-263;-12.075;16.781;658.076;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Net imports;FALSE;-2.47;-1.65;201.22;-4.487;-2.909;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Coal;TRUE;4.32;1.22;39.355;7.847;1.88;4.233;1.199;39.519;37.092;979.861;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Hydro, bioenergy and other renewables;TRUE;38.91;2.01;5.447;70.681;-349;1.279;173;15.642;11.207;32.871;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Renewables;TRUE;38.91;2.01;5.447;70.681;-349;1.279;173;15.642;11.207;32.871;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Clean;TRUE;38.91;2.01;5.447;70.681;-349;1.279;173;15.642;11.207;32.871;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Fossil;TRUE;16.14;1.09;7.243;29.319;349;10.133;1.056;11.634;88.792;627.819;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Total generation;TRUE;55.05;3.1;5.967;100.0;0.0;11.412;1.229;12.069;100.0;207.302;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Demand;TRUE;52.58;1.45;2.836;95.513;-2.909;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Thermal;TRUE;17.98;1.74;10.714;32.661;1.4;10.531;1.196;12.812;92.28;585.706;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1995;Country or economy;Hard coal;TRUE;2.82;0.74;35.577;5.123;1.119;2.71;711;35.568;23.747;960.993;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Solar;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Onshore wind;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Hydro;FALSE;34.22;-2.85;-7.688;64.022;-3.317;813;-68;-7.719;6.521;23.758;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Bioenergy;FALSE;1.57;-0.27;-14.674;2.937;-405;339;-59;-14.824;2.719;215.924;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Other renewables;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Nuclear;FALSE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Lignite;FALSE;1.4;-0.1;-6.667;2.619;-106;1.422;-101;-6.632;11.405;1015.714;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Gas;FALSE;9.4;0.49;5.499;17.587;1.402;4.205;219;5.494;33.726;447.34;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Other fossil;FALSE;2.98;0.07;2.405;5.575;289;1.961;46;2.402;15.728;658.054;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Net imports;FALSE;0.95;3.42;-138.462;1.777;6.264;0.0;0.0;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Wind;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Coal;TRUE;5.28;0.96;22.222;9.878;2.031;5.15;917;21.663;41.305;975.379;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Wind and solar;TRUE;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Hydro, bioenergy and other renewables;TRUE;35.79;-3.12;-8.019;66.96;-3.721;1.153;-126;-9.851;9.248;32.216;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Renewables;TRUE;35.79;-3.12;-8.019;66.96;-3.721;1.153;-126;-9.851;9.248;32.216;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Clean;TRUE;35.79;-3.12;-8.019;66.96;-3.721;1.153;-126;-9.851;9.248;32.216;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Fossil;TRUE;17.66;1.52;9.418;33.04;3.721;11.316;1.183;11.675;90.759;640.77;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Total generation;TRUE;53.45;-1.6;-2.906;100.0;0.0;12.468;1.056;9.253;99.999;233.265;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1996;Country or economy;Demand;TRUE;54.4;1.82;3.461;101.777;6.264;;;;;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
